user_id,KC5,KC4,KC2,KC1,KC7,KC8,KC3,KC6
1634,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Never,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz)
1575,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Others,Revisit based on activity (if I see it in quiz)
2444,,,,,,,,
2027,Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs)
2650,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (monthly),Only when notified by course convener,Never,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz)
1147,Revisit based on activity (if I see it in quiz),,,Only when notified by course convener,Revisit based on activity (if it is mentioned in lectures or labs),,Revisit by myself (weekly),
2084,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs)
1471,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment)
3020,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
1789,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Others,Revisit based on activity (if it is mentioned in lectures or labs),Others,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs)
1940,Revisit based on activity (if I see it in quiz),Revisit by myself (monthly),Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit by myself (monthly),Revisit based on activity (if I see it in quiz)
1860,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly)
2399,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Never,Revisit based on activity (if it is mentioned in lectures or labs),Never,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz)
2690,Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
1512,Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly)
2200,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz)
1852,,,,,,,,
1107,Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs)
1500,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1960,Revisit by myself (weekly),Revisit by myself (weekly),Only when notified by course convener,Revisit by myself (weekly),Never,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs)
1719,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs)
2680,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2406,,,,,,,,
1483,Only when notified by course convener,Revisit by myself (monthly),Only when notified by course convener,Revisit by myself (weekly),Only when notified by course convener,Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Only when notified by course convener
2375,Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Revisit by myself (weekly),Only when notified by course convener,Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly)
